Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed
Germany,2018,Phishing,Telecommunications,84.9,800031,Unknown,Unpatched Software,Encryption,10.0,0.00010612088781559716,Fast (<24h)
UK,2016,Phishing,Healthcare,71.19,925040,Unknown,Unpatched Software,Encryption,48.0,7.695883421257459e-05,Medium (24-72h)
Brazil,2016,Malware,IT,99.29,273469,Insider,Social Engineering,AI-based Detection,67.0,0.00036307588794342325,Medium (24-72h)
Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58.0,2.8629877357828342e-05,Medium (24-72h)
Japan,2022,DDoS,Education,82.19,905203,Hacker Group,Weak Passwords,Antivirus,37.0,9.079731286794232e-05,Medium (24-72h)
India,2023,Phishing,Telecommunications,11.72,512291,Insider,Zero-day,AI-based Detection,51.0,2.28776222888944e-05,Medium (24-72h)
UK,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9.0,6.496606554663378e-05,Fast (<24h)
UK,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43.0,4.128917871605966e-05,Medium (24-72h)
Brazil,2020,Malware,Banking,79.61,755029,Nation-state,Weak Passwords,Firewall,27.0,0.00010543965860913952,Medium (24-72h)
Brazil,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21.0,0.00015029188920630978,Fast (<24h)
India,2016,Ransomware,Retail,29.48,403737,Insider,Zero-day,Firewall,26.0,7.301783091467961e-05,Medium (24-72h)
China,2019,DDoS,Retail,7.87,86783,Nation-state,Weak Passwords,Antivirus,12.0,9.068596384084441e-05,Fast (<24h)
Australia,2022,DDoS,Telecommunications,86.77,390083,Nation-state,Social Engineering,VPN,72.0,0.0002224398397264172,Medium (24-72h)
Brazil,2023,Man-in-the-Middle,Banking,20.15,376174,Unknown,Social Engineering,Firewall,43.0,5.3565637178539714e-05,Medium (24-72h)
UK,2022,Ransomware,Government,31.94,485080,Insider,Weak Passwords,Antivirus,61.0,6.5844809103653e-05,Medium (24-72h)
France,2024,Ransomware,Banking,78.82,759804,Unknown,Unpatched Software,AI-based Detection,47.0,0.00010373727961421629,Medium (24-72h)
Japan,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57.0,0.00022927381484794278,Medium (24-72h)
USA,2017,Malware,IT,75.53,992377,Nation-state,Unpatched Software,Antivirus,33.0,7.611018796284074e-05,Medium (24-72h)
USA,2021,Man-in-the-Middle,Education,36.06,48987,Unknown,Zero-day,VPN,58.0,0.0007361136628085003,Medium (24-72h)
Russia,2021,SQL Injection,Telecommunications,68.07,538602,Insider,Unpatched Software,VPN,19.0,0.00012638274644357055,Fast (<24h)
Japan,2015,Malware,Healthcare,26.29,808392,Hacker Group,Weak Passwords,AI-based Detection,4.0,3.2521351027719224e-05,Fast (<24h)
UK,2015,Ransomware,IT,26.12,21580,Unknown,Weak Passwords,AI-based Detection,14.0,0.0012103799814643188,Fast (<24h)
France,2020,Phishing,Government,94.44,209658,Insider,Zero-day,VPN,11.0,0.00045044787224909135,Fast (<24h)
Japan,2017,Man-in-the-Middle,Retail,74.12,559889,Nation-state,Zero-day,VPN,10.0,0.00013238338313487137,Fast (<24h)
France,2015,SQL Injection,Government,12.92,344516,Insider,Zero-day,VPN,28.0,3.750188670482648e-05,Medium (24-72h)
Australia,2024,Phishing,Retail,73.43,897569,Hacker Group,Social Engineering,AI-based Detection,66.0,8.180986642809634e-05,Medium (24-72h)
Australia,2023,SQL Injection,Healthcare,99.19,538688,Nation-state,Zero-day,Encryption,36.0,0.00018413255910657003,Medium (24-72h)
China,2015,DDoS,Government,22.71,303975,Nation-state,Social Engineering,Firewall,2.0,7.471009129040218e-05,Fast (<24h)
Japan,2022,SQL Injection,Telecommunications,67.62,822256,Insider,Unpatched Software,Firewall,60.0,8.223716214901442e-05,Medium (24-72h)
Russia,2019,Man-in-the-Middle,Healthcare,53.82,521877,Unknown,Zero-day,Encryption,66.0,0.00010312774849246087,Medium (24-72h)
Brazil,2016,SQL Injection,Education,55.83,758258,Unknown,Zero-day,Encryption,44.0,7.362929240443226e-05,Medium (24-72h)
Brazil,2016,DDoS,IT,17.12,988369,Hacker Group,Weak Passwords,AI-based Detection,26.0,1.7321465970705274e-05,Medium (24-72h)
France,2022,Malware,Healthcare,67.89,325521,Hacker Group,Social Engineering,VPN,69.0,0.0002085579732183177,Medium (24-72h)
Germany,2021,Ransomware,IT,5.54,254933,Nation-state,Social Engineering,AI-based Detection,41.0,2.1731199962343046e-05,Medium (24-72h)
UK,2023,DDoS,Government,55.28,339144,Hacker Group,Unpatched Software,VPN,26.0,0.00016299860826079777,Medium (24-72h)
India,2022,Ransomware,Education,57.52,170002,Unknown,Unpatched Software,AI-based Detection,54.0,0.0003383489606004635,Medium (24-72h)
Japan,2019,DDoS,Government,74.65,491269,Nation-state,Zero-day,Firewall,67.0,0.00015195341045333617,Medium (24-72h)
China,2019,Phishing,Banking,49.14,341100,Insider,Social Engineering,Firewall,37.0,0.00014406332453825856,Medium (24-72h)
India,2018,DDoS,Government,36.04,446170,Insider,Unpatched Software,VPN,72.0,8.077638568258735e-05,Medium (24-72h)
India,2015,Malware,Telecommunications,14.09,28398,Insider,Zero-day,Encryption,22.0,0.0004961617015282766,Fast (<24h)
France,2017,Ransomware,Telecommunications,66.36,180698,Hacker Group,Zero-day,Encryption,53.0,0.0003672425815448981,Medium (24-72h)
Germany,2017,Malware,Healthcare,8.53,676384,Unknown,Social Engineering,VPN,44.0,1.2611179448360693e-05,Medium (24-72h)
Brazil,2015,Ransomware,Healthcare,61.91,961557,Insider,Unpatched Software,Firewall,64.0,6.438515865414115e-05,Medium (24-72h)
Japan,2020,Phishing,Education,54.47,345334,Hacker Group,Weak Passwords,Antivirus,25.0,0.0001577313557309735,Medium (24-72h)
Russia,2024,Phishing,Education,87.88,263407,Nation-state,Zero-day,Antivirus,8.0,0.0003336281875576579,Fast (<24h)
Russia,2017,Phishing,IT,89.22,791350,Nation-state,Social Engineering,Antivirus,32.0,0.00011274404498641562,Medium (24-72h)
China,2022,Ransomware,Telecommunications,64.92,591819,Unknown,Zero-day,Antivirus,49.0,0.00010969570088151951,Medium (24-72h)
UK,2016,SQL Injection,IT,6.59,186612,Unknown,Unpatched Software,Antivirus,30.0,3.531391336034124e-05,Medium (24-72h)
Japan,2018,Ransomware,Retail,48.0,187730,Nation-state,Weak Passwords,AI-based Detection,26.0,0.0002556863580674373,Medium (24-72h)
France,2015,SQL Injection,IT,87.78,6456,Hacker Group,Social Engineering,Firewall,69.0,0.013596654275092938,Medium (24-72h)
Japan,2020,Malware,Banking,15.73,762662,Hacker Group,Zero-day,Firewall,56.0,2.0625126202695297e-05,Medium (24-72h)
UK,2015,Phishing,IT,30.26,256396,Hacker Group,Zero-day,Encryption,29.0,0.00011802056194324405,Medium (24-72h)
Brazil,2021,SQL Injection,Healthcare,54.59,437634,Unknown,Weak Passwords,AI-based Detection,29.0,0.00012473893710269313,Medium (24-72h)
Russia,2015,Malware,Healthcare,63.09,80855,Nation-state,Zero-day,AI-based Detection,53.0,0.0007802856966174016,Medium (24-72h)
India,2016,Phishing,Retail,59.36,967614,Nation-state,Unpatched Software,AI-based Detection,71.0,6.13467767105478e-05,Medium (24-72h)
Japan,2020,Ransomware,IT,79.52,934400,Unknown,Social Engineering,VPN,4.0,8.51027397260274e-05,Fast (<24h)
Germany,2023,Man-in-the-Middle,Telecommunications,87.83,547719,Unknown,Weak Passwords,AI-based Detection,22.0,0.00016035594894462307,Fast (<24h)
China,2016,Malware,Healthcare,96.63,808984,Unknown,Weak Passwords,Firewall,26.0,0.00011944612007159597,Medium (24-72h)
Japan,2023,Ransomware,Banking,52.86,261038,Nation-state,Social Engineering,Encryption,48.0,0.0002024992529823244,Medium (24-72h)
China,2024,Phishing,Education,4.01,841054,Insider,Zero-day,Antivirus,49.0,4.7678270360761615e-06,Medium (24-72h)
China,2019,Ransomware,IT,68.02,175038,Hacker Group,Weak Passwords,VPN,67.0,0.000388601332282133,Medium (24-72h)
Russia,2022,Phishing,Retail,67.17,774613,Hacker Group,Weak Passwords,Encryption,53.0,8.671426893171171e-05,Medium (24-72h)
Japan,2021,Phishing,Healthcare,37.45,558357,Hacker Group,Weak Passwords,VPN,49.0,6.707178382289467e-05,Medium (24-72h)
India,2017,Phishing,Retail,36.78,620056,Nation-state,Weak Passwords,Firewall,14.0,5.9317222960506796e-05,Fast (<24h)
Russia,2018,Malware,Healthcare,40.66,90640,Unknown,Social Engineering,Encryption,56.0,0.0004485878199470432,Medium (24-72h)
Russia,2022,Ransomware,Retail,76.93,449596,Unknown,Unpatched Software,AI-based Detection,3.0,0.00017110917356915988,Fast (<24h)
Australia,2020,Ransomware,Healthcare,58.91,207842,Nation-state,Social Engineering,Antivirus,40.0,0.0002834364565391018,Medium (24-72h)
Germany,2017,Phishing,Retail,93.6,908249,Nation-state,Zero-day,AI-based Detection,53.0,0.00010305543964265306,Medium (24-72h)
Japan,2017,Phishing,Healthcare,47.39,470895,Nation-state,Social Engineering,Encryption,63.0,0.00010063814650824494,Medium (24-72h)
France,2017,Malware,Education,3.21,342049,Nation-state,Unpatched Software,AI-based Detection,31.0,9.38462033217463e-06,Medium (24-72h)
Brazil,2018,Phishing,Banking,98.75,316891,Hacker Group,Social Engineering,Antivirus,55.0,0.00031162134614110215,Medium (24-72h)
India,2019,Man-in-the-Middle,Education,27.45,633466,Unknown,Zero-day,AI-based Detection,16.0,4.3333028134106644e-05,Fast (<24h)
USA,2023,Malware,Telecommunications,23.98,123866,Nation-state,Zero-day,Firewall,43.0,0.0001935963056851759,Medium (24-72h)
France,2017,DDoS,Telecommunications,79.93,305905,Unknown,Unpatched Software,Encryption,44.0,0.0002612902698550204,Medium (24-72h)
Russia,2023,SQL Injection,Telecommunications,3.66,702942,Nation-state,Unpatched Software,AI-based Detection,34.0,5.206688460783393e-06,Medium (24-72h)
Brazil,2016,Man-in-the-Middle,Retail,72.78,11339,Hacker Group,Social Engineering,AI-based Detection,34.0,0.006418555428168269,Medium (24-72h)
UK,2017,SQL Injection,Banking,73.88,8385,Nation-state,Social Engineering,AI-based Detection,69.0,0.00881097197376267,Medium (24-72h)
Russia,2024,Ransomware,Banking,52.8,21810,Insider,Zero-day,VPN,48.0,0.002420907840440165,Medium (24-72h)
India,2018,Man-in-the-Middle,Healthcare,94.6,7347,Insider,Zero-day,AI-based Detection,7.0,0.012876003811079352,Fast (<24h)
Germany,2021,SQL Injection,Education,1.62,61463,Hacker Group,Weak Passwords,Antivirus,58.0,2.63573206644648e-05,Medium (24-72h)
Russia,2020,DDoS,Healthcare,0.82,683572,Insider,Zero-day,Antivirus,69.0,1.1995810243836785e-06,Medium (24-72h)
Germany,2015,Malware,Healthcare,90.91,654633,Nation-state,Weak Passwords,Antivirus,43.0,0.00013887170368740958,Medium (24-72h)
Japan,2021,DDoS,Banking,32.84,311274,Hacker Group,Zero-day,Encryption,67.0,0.00010550190507398628,Medium (24-72h)
Russia,2017,Malware,Education,63.33,185208,Unknown,Zero-day,Firewall,3.0,0.00034193987300764543,Fast (<24h)
Russia,2022,Man-in-the-Middle,Healthcare,27.82,182378,Insider,Social Engineering,AI-based Detection,10.0,0.00015254032832907478,Fast (<24h)
China,2016,Phishing,IT,7.73,800480,Unknown,Zero-day,VPN,31.0,9.656705976414152e-06,Medium (24-72h)
India,2019,DDoS,Banking,46.98,147761,Unknown,Unpatched Software,AI-based Detection,68.0,0.000317945872050135,Medium (24-72h)
Russia,2024,Ransomware,Banking,80.11,923911,Insider,Unpatched Software,Firewall,60.0,8.67074858942041e-05,Medium (24-72h)
Germany,2024,Ransomware,Education,11.81,418893,Insider,Social Engineering,Firewall,31.0,2.8193357253522978e-05,Medium (24-72h)
Germany,2016,Ransomware,Education,15.09,914593,Unknown,Weak Passwords,AI-based Detection,1.0,1.64991422414123e-05,Fast (<24h)
Japan,2015,SQL Injection,Banking,20.69,344789,Unknown,Zero-day,AI-based Detection,69.0,6.0007714863293205e-05,Medium (24-72h)
India,2019,DDoS,Telecommunications,36.86,116906,Insider,Social Engineering,VPN,7.0,0.00031529604981780235,Fast (<24h)
Australia,2019,Phishing,Education,10.87,812343,Insider,Social Engineering,Antivirus,16.0,1.338104716849902e-05,Fast (<24h)
China,2017,Malware,IT,18.17,346390,Hacker Group,Weak Passwords,Firewall,36.0,5.245532492277491e-05,Medium (24-72h)
Brazil,2018,Phishing,IT,13.89,30925,Insider,Zero-day,Encryption,43.0,0.00044915117219078416,Medium (24-72h)
UK,2017,DDoS,Government,15.63,663812,Nation-state,Zero-day,Antivirus,57.0,2.354582321500666e-05,Medium (24-72h)
Brazil,2020,Man-in-the-Middle,Government,32.72,220978,Nation-state,Zero-day,VPN,47.0,0.00014806903854682366,Medium (24-72h)
UK,2021,DDoS,Banking,97.03,100486,Nation-state,Unpatched Software,Firewall,31.0,0.0009656071492546225,Medium (24-72h)
Russia,2023,SQL Injection,Education,75.63,195733,Nation-state,Weak Passwords,Antivirus,70.0,0.0003863937097985521,Medium (24-72h)
Japan,2023,Man-in-the-Middle,Healthcare,64.21,707978,Nation-state,Weak Passwords,VPN,41.0,9.069490859885476e-05,Medium (24-72h)
Brazil,2018,Phishing,Healthcare,99.14,456432,Insider,Weak Passwords,Antivirus,66.0,0.00021720650611701194,Medium (24-72h)
Brazil,2016,Man-in-the-Middle,IT,75.51,37230,Unknown,Social Engineering,AI-based Detection,52.0,0.002028203062046737,Medium (24-72h)
UK,2015,DDoS,Government,11.68,890414,Nation-state,Unpatched Software,AI-based Detection,28.0,1.3117493660252421e-05,Medium (24-72h)
France,2021,Malware,IT,33.84,440358,Nation-state,Social Engineering,Antivirus,5.0,7.684656574877713e-05,Fast (<24h)
India,2022,Malware,Healthcare,38.89,400752,Insider,Unpatched Software,Antivirus,36.0,9.704255998722401e-05,Medium (24-72h)
France,2018,Phishing,Banking,89.77,134364,Nation-state,Zero-day,Antivirus,63.0,0.0006681105057902414,Medium (24-72h)
Germany,2017,DDoS,Telecommunications,15.01,406483,Insider,Weak Passwords,Antivirus,62.0,3.6926513531931224e-05,Medium (24-72h)
Brazil,2018,SQL Injection,IT,98.38,661583,Insider,Social Engineering,Encryption,30.0,0.00014870394190902729,Medium (24-72h)
Russia,2015,SQL Injection,Education,23.49,642834,Unknown,Weak Passwords,Antivirus,34.0,3.654131548735754e-05,Medium (24-72h)
Brazil,2017,Ransomware,IT,9.43,493087,Hacker Group,Unpatched Software,Encryption,44.0,1.912441415003843e-05,Medium (24-72h)
Brazil,2021,Man-in-the-Middle,IT,97.37,966570,Nation-state,Weak Passwords,Antivirus,32.0,0.00010073765997289385,Medium (24-72h)
Russia,2022,Phishing,Telecommunications,73.26,687383,Nation-state,Weak Passwords,VPN,8.0,0.00010657813766124562,Fast (<24h)
Germany,2020,Phishing,Retail,78.84,733304,Unknown,Weak Passwords,VPN,19.0,0.0001075133914447487,Fast (<24h)
India,2023,Ransomware,Telecommunications,3.51,661681,Hacker Group,Weak Passwords,AI-based Detection,14.0,5.304670981938426e-06,Fast (<24h)
France,2020,SQL Injection,IT,25.32,644538,Unknown,Social Engineering,Antivirus,57.0,3.9283952226245774e-05,Medium (24-72h)
Germany,2015,Phishing,Banking,58.78,861637,Unknown,Social Engineering,VPN,15.0,6.821898316808586e-05,Fast (<24h)
Brazil,2016,SQL Injection,Telecommunications,73.76,393189,Unknown,Zero-day,Antivirus,37.0,0.00018759426128401354,Medium (24-72h)
France,2022,SQL Injection,Healthcare,27.06,999545,Hacker Group,Social Engineering,Encryption,47.0,2.7072317904646612e-05,Medium (24-72h)
UK,2021,SQL Injection,IT,77.82,935572,Hacker Group,Social Engineering,Encryption,61.0,8.317906051057533e-05,Medium (24-72h)
France,2016,Ransomware,IT,55.99,724608,Hacker Group,Social Engineering,Antivirus,21.0,7.726936495318849e-05,Fast (<24h)
Brazil,2024,DDoS,Banking,55.73,750979,Unknown,Social Engineering,AI-based Detection,30.0,7.420979814349003e-05,Medium (24-72h)
India,2017,Malware,Telecommunications,7.44,552358,Nation-state,Weak Passwords,AI-based Detection,42.0,1.3469525199236727e-05,Medium (24-72h)
Australia,2019,Phishing,Banking,37.07,902654,Insider,Social Engineering,Antivirus,9.0,4.106778455532241e-05,Fast (<24h)
UK,2022,Ransomware,Healthcare,75.67,413293,Hacker Group,Zero-day,Antivirus,27.0,0.000183090446729076,Medium (24-72h)
India,2024,Malware,Retail,56.19,114357,Insider,Zero-day,AI-based Detection,58.0,0.0004913560166845929,Medium (24-72h)
USA,2018,Malware,Government,70.53,363432,Hacker Group,Zero-day,AI-based Detection,40.0,0.00019406656540976028,Medium (24-72h)
Japan,2016,SQL Injection,Telecommunications,63.77,304618,Unknown,Unpatched Software,Antivirus,54.0,0.00020934416219658722,Medium (24-72h)
India,2022,SQL Injection,IT,32.73,153154,Hacker Group,Zero-day,VPN,37.0,0.0002137064653877796,Medium (24-72h)
China,2022,Malware,Banking,21.87,741153,Insider,Social Engineering,Encryption,66.0,2.9508077279590045e-05,Medium (24-72h)
Japan,2024,Man-in-the-Middle,Healthcare,72.08,261230,Insider,Social Engineering,VPN,19.0,0.0002759254296979673,Fast (<24h)
UK,2023,SQL Injection,Telecommunications,53.82,688014,Unknown,Zero-day,Encryption,18.0,7.822515239515475e-05,Fast (<24h)
Australia,2018,DDoS,Education,3.3,45027,Unknown,Social Engineering,Antivirus,68.0,7.328935971750282e-05,Medium (24-72h)
Australia,2021,Malware,Banking,13.99,689681,Nation-state,Weak Passwords,AI-based Detection,62.0,2.02847403364744e-05,Medium (24-72h)
Germany,2024,Malware,Government,93.49,702688,Hacker Group,Unpatched Software,Antivirus,39.0,0.00013304624527528576,Medium (24-72h)
China,2016,Man-in-the-Middle,Banking,97.28,86038,Insider,Weak Passwords,Encryption,19.0,0.0011306631953322951,Fast (<24h)
Japan,2015,Malware,Education,17.19,899381,Insider,Unpatched Software,Firewall,66.0,1.9113145596804915e-05,Medium (24-72h)
India,2023,Malware,IT,54.21,157667,Insider,Weak Passwords,VPN,34.0,0.00034382591157312565,Medium (24-72h)
UK,2021,Malware,Government,64.28,643714,Nation-state,Weak Passwords,VPN,25.0,9.985801147714669e-05,Medium (24-72h)
USA,2023,Ransomware,Education,71.31,3607,Insider,Zero-day,AI-based Detection,7.0,0.019769891876906018,Fast (<24h)
UK,2017,Phishing,Banking,52.31,259706,Hacker Group,Social Engineering,Antivirus,2.0,0.0002014200673068778,Fast (<24h)
India,2021,Man-in-the-Middle,Retail,40.94,698921,Insider,Weak Passwords,Firewall,72.0,5.8576005013442145e-05,Medium (24-72h)
Brazil,2024,Ransomware,Government,32.21,482574,Nation-state,Unpatched Software,Firewall,22.0,6.674623995490847e-05,Fast (<24h)
France,2017,DDoS,IT,20.44,618269,Nation-state,Weak Passwords,VPN,48.0,3.306004344387314e-05,Medium (24-72h)
Russia,2016,Ransomware,Government,59.66,854961,Unknown,Unpatched Software,AI-based Detection,7.0,6.978096076897074e-05,Fast (<24h)
Brazil,2019,SQL Injection,Education,56.33,595157,Unknown,Zero-day,Encryption,41.0,9.464729474743638e-05,Medium (24-72h)
France,2016,SQL Injection,Government,2.24,813706,Hacker Group,Weak Passwords,VPN,54.0,2.7528370197589795e-06,Medium (24-72h)
Brazil,2018,DDoS,Telecommunications,82.05,322527,Nation-state,Weak Passwords,Firewall,46.0,0.00025439730627203303,Medium (24-72h)
China,2024,DDoS,Healthcare,11.92,557016,Unknown,Zero-day,Firewall,34.0,2.139974435204734e-05,Medium (24-72h)
UK,2017,DDoS,Healthcare,54.83,966668,Hacker Group,Weak Passwords,AI-based Detection,15.0,5.672061141984632e-05,Fast (<24h)
France,2020,SQL Injection,Retail,36.17,813165,Nation-state,Unpatched Software,Antivirus,44.0,4.448051748415144e-05,Medium (24-72h)
France,2018,SQL Injection,Government,80.06,400807,Unknown,Weak Passwords,Firewall,67.0,0.00019974701040650488,Medium (24-72h)
Brazil,2023,Man-in-the-Middle,Retail,74.85,549300,Hacker Group,Weak Passwords,Antivirus,26.0,0.0001362643364281813,Medium (24-72h)
Brazil,2021,Ransomware,Government,74.01,956893,Unknown,Social Engineering,Antivirus,49.0,7.734407086267744e-05,Medium (24-72h)
India,2015,SQL Injection,Government,46.2,245370,Insider,Social Engineering,AI-based Detection,57.0,0.00018828707665973835,Medium (24-72h)
Brazil,2017,Malware,IT,9.59,912731,Nation-state,Zero-day,Firewall,4.0,1.0506929204771176e-05,Fast (<24h)
USA,2017,Malware,Telecommunications,81.19,362085,Insider,Weak Passwords,VPN,5.0,0.0002242291174724167,Fast (<24h)
Germany,2022,SQL Injection,Telecommunications,42.8,862664,Hacker Group,Zero-day,Firewall,44.0,4.9613754602023494e-05,Medium (24-72h)
