Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed,Cluster,Threat Profile
India,2022,Malware,Government,84.15,849745,Hacker Group,Social Engineering,Antivirus,51.0,9.90297089126738e-05,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50.0,3.345210201196724e-05,Medium (24-72h),0,Widespread: High User Impact
UK,2017,DDoS,IT,9.01,617543,Unknown,Zero-day,Antivirus,43.0,1.4590077128232363e-05,Medium (24-72h),0,Widespread: High User Impact
USA,2017,SQL Injection,Banking,9.08,895507,Unknown,Social Engineering,AI-based Detection,52.0,1.013950756387164e-05,Medium (24-72h),0,Widespread: High User Impact
UK,2020,SQL Injection,Healthcare,67.9,2233,Unknown,Social Engineering,Antivirus,45.0,0.0304075235109717,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42.0,0.0009263311451495,Medium (24-72h),1,Targeted: High Financial Impact
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64.0,3.469111781856774e-05,Medium (24-72h),3,Standard: Moderate Impact
Australia,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30.0,0.0001217226331747,Medium (24-72h),2,Critical: High Impact on Both
Australia,2017,Malware,Healthcare,77.32,563706,Nation-state,Unpatched Software,AI-based Detection,35.0,0.0001371636988075,Medium (24-72h),2,Critical: High Impact on Both
India,2022,DDoS,Healthcare,12.01,254980,Insider,Unpatched Software,AI-based Detection,58.0,4.7101733469291706e-05,Medium (24-72h),3,Standard: Moderate Impact
Russia,2021,Malware,Education,0.54,869574,Unknown,Unpatched Software,Antivirus,16.0,6.209937279633476e-07,Fast (<24h),0,Widespread: High User Impact
Russia,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21.0,0.0003373343052675,Fast (<24h),1,Targeted: High Financial Impact
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55.0,0.0001485248081623,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2021,Malware,Healthcare,83.06,937717,Unknown,Unpatched Software,Encryption,56.0,8.857683074957583e-05,Medium (24-72h),5,Critical: High Impact on Both
India,2021,Man-in-the-Middle,Telecommunications,71.64,416077,Insider,Social Engineering,VPN,39.0,0.000172179668667,Medium (24-72h),1,Targeted: High Financial Impact
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63.0,0.0004244388450134,Medium (24-72h),3,Standard: Moderate Impact
Australia,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63.0,9.965361244345109e-05,Medium (24-72h),5,Critical: High Impact on Both
Japan,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71.0,6.821653791295912e-05,Medium (24-72h),5,Critical: High Impact on Both
India,2017,Man-in-the-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70.0,9.768453040919852e-05,Medium (24-72h),5,Critical: High Impact on Both
Australia,2022,Man-in-the-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38.0,0.0001149477285418,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2016,Malware,Healthcare,83.88,155059,Unknown,Unpatched Software,Antivirus,29.0,0.0005409553782753,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41.0,9.204619525790475e-05,Medium (24-72h),5,Critical: High Impact on Both
Germany,2022,DDoS,Telecommunications,20.55,239313,Nation-state,Social Engineering,AI-based Detection,6.0,8.587080517982726e-05,Fast (<24h),4,Standard: Moderate Impact
Russia,2023,Ransomware,Telecommunications,60.08,874485,Hacker Group,Weak Passwords,Antivirus,48.0,6.870329393871821e-05,Medium (24-72h),5,Critical: High Impact on Both
Russia,2016,SQL Injection,Healthcare,46.95,90895,Unknown,Social Engineering,VPN,29.0,0.0005165300621596,Medium (24-72h),4,Standard: Moderate Impact
China,2015,Man-in-the-Middle,Retail,47.2,529593,Hacker Group,Zero-day,VPN,64.0,8.912504508178922e-05,Medium (24-72h),3,Standard: Moderate Impact
Germany,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72.0,7.689269601328087e-05,Medium (24-72h),5,Critical: High Impact on Both
USA,2021,DDoS,Telecommunications,1.98,863623,Hacker Group,Weak Passwords,Firewall,24.0,2.2926670549533765e-06,Fast (<24h),0,Widespread: High User Impact
USA,2018,Malware,Healthcare,14.28,755771,Insider,Weak Passwords,Antivirus,44.0,1.8894612256887336e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2021,SQL Injection,Telecommunications,66.23,164032,Unknown,Social Engineering,Firewall,5.0,0.0004037626804525,Fast (<24h),1,Targeted: High Financial Impact
Russia,2019,Man-in-the-Middle,Telecommunications,95.66,259993,Nation-state,Weak Passwords,Antivirus,58.0,0.000367932982811,Medium (24-72h),1,Targeted: High Financial Impact
UK,2019,Phishing,Retail,90.13,232359,Unknown,Social Engineering,Firewall,17.0,0.0003878911511927,Fast (<24h),1,Targeted: High Financial Impact
Germany,2018,Phishing,Telecommunications,84.9,800031,Unknown,Unpatched Software,Encryption,10.0,0.0001061208878155,Fast (<24h),2,Critical: High Impact on Both
UK,2016,Phishing,Healthcare,71.19,925040,Unknown,Unpatched Software,Encryption,48.0,7.695883421257459e-05,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2016,Malware,IT,99.29,273469,Insider,Social Engineering,AI-based Detection,67.0,0.0003630758879434,Medium (24-72h),5,Critical: High Impact on Both
Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58.0,2.8629877357828342e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2022,DDoS,Education,82.19,905203,Hacker Group,Weak Passwords,Antivirus,37.0,9.079731286794232e-05,Medium (24-72h),2,Critical: High Impact on Both
India,2023,Phishing,Telecommunications,11.72,512291,Insider,Zero-day,AI-based Detection,51.0,2.28776222888944e-05,Medium (24-72h),0,Widespread: High User Impact
UK,2017,Phishing,Telecommunications,27.08,416833,Insider,Social Engineering,VPN,9.0,6.496606554663378e-05,Fast (<24h),4,Standard: Moderate Impact
UK,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43.0,4.128917871605966e-05,Medium (24-72h),0,Widespread: High User Impact
Brazil,2020,Malware,Banking,79.61,755029,Nation-state,Weak Passwords,Firewall,27.0,0.0001054396586091,Medium (24-72h),2,Critical: High Impact on Both
Brazil,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21.0,0.0001502918892063,Fast (<24h),2,Critical: High Impact on Both
India,2016,Ransomware,Retail,29.48,403737,Insider,Zero-day,Firewall,26.0,7.301783091467961e-05,Medium (24-72h),4,Standard: Moderate Impact
China,2019,DDoS,Retail,7.87,86783,Nation-state,Weak Passwords,Antivirus,12.0,9.06859638408444e-05,Fast (<24h),4,Standard: Moderate Impact
Australia,2022,DDoS,Telecommunications,86.77,390083,Nation-state,Social Engineering,VPN,72.0,0.0002224398397264,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2023,Man-in-the-Middle,Banking,20.15,376174,Unknown,Social Engineering,Firewall,43.0,5.3565637178539714e-05,Medium (24-72h),3,Standard: Moderate Impact
UK,2022,Ransomware,Government,31.94,485080,Insider,Weak Passwords,Antivirus,61.0,6.5844809103653e-05,Medium (24-72h),3,Standard: Moderate Impact
France,2024,Ransomware,Banking,78.82,759804,Unknown,Unpatched Software,AI-based Detection,47.0,0.0001037372796142,Medium (24-72h),5,Critical: High Impact on Both
Japan,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57.0,0.0002292738148479,Medium (24-72h),3,Standard: Moderate Impact
USA,2017,Malware,IT,75.53,992377,Nation-state,Unpatched Software,Antivirus,33.0,7.611018796284074e-05,Medium (24-72h),2,Critical: High Impact on Both
USA,2021,Man-in-the-Middle,Education,36.06,48987,Unknown,Zero-day,VPN,58.0,0.0007361136628085,Medium (24-72h),3,Standard: Moderate Impact
Russia,2021,SQL Injection,Telecommunications,68.07,538602,Insider,Unpatched Software,VPN,19.0,0.0001263827464435,Fast (<24h),2,Critical: High Impact on Both
Japan,2015,Malware,Healthcare,26.29,808392,Hacker Group,Weak Passwords,AI-based Detection,4.0,3.2521351027719224e-05,Fast (<24h),2,Critical: High Impact on Both
UK,2015,Ransomware,IT,26.12,21580,Unknown,Weak Passwords,AI-based Detection,14.0,0.0012103799814643,Fast (<24h),4,Standard: Moderate Impact
France,2020,Phishing,Government,94.44,209658,Insider,Zero-day,VPN,11.0,0.000450447872249,Fast (<24h),1,Targeted: High Financial Impact
Japan,2017,Man-in-the-Middle,Retail,74.12,559889,Nation-state,Zero-day,VPN,10.0,0.0001323833831348,Fast (<24h),2,Critical: High Impact on Both
France,2015,SQL Injection,Government,12.92,344516,Insider,Zero-day,VPN,28.0,3.750188670482648e-05,Medium (24-72h),4,Standard: Moderate Impact
Australia,2024,Phishing,Retail,73.43,897569,Hacker Group,Social Engineering,AI-based Detection,66.0,8.180986642809634e-05,Medium (24-72h),5,Critical: High Impact on Both
Australia,2023,SQL Injection,Healthcare,99.19,538688,Nation-state,Zero-day,Encryption,36.0,0.0001841325591065,Medium (24-72h),1,Targeted: High Financial Impact
China,2015,DDoS,Government,22.71,303975,Nation-state,Social Engineering,Firewall,2.0,7.471009129040218e-05,Fast (<24h),4,Standard: Moderate Impact
Japan,2022,SQL Injection,Telecommunications,67.62,822256,Insider,Unpatched Software,Firewall,60.0,8.223716214901442e-05,Medium (24-72h),5,Critical: High Impact on Both
Russia,2019,Man-in-the-Middle,Healthcare,53.82,521877,Unknown,Zero-day,Encryption,66.0,0.0001031277484924,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2016,SQL Injection,Education,55.83,758258,Unknown,Zero-day,Encryption,44.0,7.362929240443226e-05,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2016,DDoS,IT,17.12,988369,Hacker Group,Weak Passwords,AI-based Detection,26.0,1.7321465970705274e-05,Medium (24-72h),0,Widespread: High User Impact
France,2022,Malware,Healthcare,67.89,325521,Hacker Group,Social Engineering,VPN,69.0,0.0002085579732183,Medium (24-72h),3,Standard: Moderate Impact
Germany,2021,Ransomware,IT,5.54,254933,Nation-state,Social Engineering,AI-based Detection,41.0,2.173119996234305e-05,Medium (24-72h),3,Standard: Moderate Impact
UK,2023,DDoS,Government,55.28,339144,Hacker Group,Unpatched Software,VPN,26.0,0.0001629986082607,Medium (24-72h),1,Targeted: High Financial Impact
India,2022,Ransomware,Education,57.52,170002,Unknown,Unpatched Software,AI-based Detection,54.0,0.0003383489606004,Medium (24-72h),3,Standard: Moderate Impact
Japan,2019,DDoS,Government,74.65,491269,Nation-state,Zero-day,Firewall,67.0,0.0001519534104533,Medium (24-72h),5,Critical: High Impact on Both
China,2019,Phishing,Banking,49.14,341100,Insider,Social Engineering,Firewall,37.0,0.0001440633245382,Medium (24-72h),3,Standard: Moderate Impact
India,2018,DDoS,Government,36.04,446170,Insider,Unpatched Software,VPN,72.0,8.077638568258735e-05,Medium (24-72h),3,Standard: Moderate Impact
India,2015,Malware,Telecommunications,14.09,28398,Insider,Zero-day,Encryption,22.0,0.0004961617015282,Fast (<24h),4,Standard: Moderate Impact
France,2017,Ransomware,Telecommunications,66.36,180698,Hacker Group,Zero-day,Encryption,53.0,0.0003672425815448,Medium (24-72h),3,Standard: Moderate Impact
Germany,2017,Malware,Healthcare,8.53,676384,Unknown,Social Engineering,VPN,44.0,1.2611179448360692e-05,Medium (24-72h),0,Widespread: High User Impact
Brazil,2015,Ransomware,Healthcare,61.91,961557,Insider,Unpatched Software,Firewall,64.0,6.438515865414115e-05,Medium (24-72h),5,Critical: High Impact on Both
Japan,2020,Phishing,Education,54.47,345334,Hacker Group,Weak Passwords,Antivirus,25.0,0.0001577313557309,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2024,Phishing,Education,87.88,263407,Nation-state,Zero-day,Antivirus,8.0,0.0003336281875576,Fast (<24h),1,Targeted: High Financial Impact
Russia,2017,Phishing,IT,89.22,791350,Nation-state,Social Engineering,Antivirus,32.0,0.0001127440449864,Medium (24-72h),2,Critical: High Impact on Both
China,2022,Ransomware,Telecommunications,64.92,591819,Unknown,Zero-day,Antivirus,49.0,0.0001096957008815,Medium (24-72h),5,Critical: High Impact on Both
UK,2016,SQL Injection,IT,6.59,186612,Unknown,Unpatched Software,Antivirus,30.0,3.531391336034124e-05,Medium (24-72h),4,Standard: Moderate Impact
Japan,2018,Ransomware,Retail,48.0,187730,Nation-state,Weak Passwords,AI-based Detection,26.0,0.0002556863580674,Medium (24-72h),4,Standard: Moderate Impact
France,2015,SQL Injection,IT,87.78,6456,Hacker Group,Social Engineering,Firewall,69.0,0.0135966542750929,Medium (24-72h),3,Standard: Moderate Impact
Japan,2020,Malware,Banking,15.73,762662,Hacker Group,Zero-day,Firewall,56.0,2.0625126202695297e-05,Medium (24-72h),0,Widespread: High User Impact
UK,2015,Phishing,IT,30.26,256396,Hacker Group,Zero-day,Encryption,29.0,0.0001180205619432,Medium (24-72h),4,Standard: Moderate Impact
Brazil,2021,SQL Injection,Healthcare,54.59,437634,Unknown,Weak Passwords,AI-based Detection,29.0,0.0001247389371026,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2015,Malware,Healthcare,63.09,80855,Nation-state,Zero-day,AI-based Detection,53.0,0.0007802856966174,Medium (24-72h),3,Standard: Moderate Impact
India,2016,Phishing,Retail,59.36,967614,Nation-state,Unpatched Software,AI-based Detection,71.0,6.13467767105478e-05,Medium (24-72h),5,Critical: High Impact on Both
Japan,2020,Ransomware,IT,79.52,934400,Unknown,Social Engineering,VPN,4.0,8.51027397260274e-05,Fast (<24h),2,Critical: High Impact on Both
Germany,2023,Man-in-the-Middle,Telecommunications,87.83,547719,Unknown,Weak Passwords,AI-based Detection,22.0,0.0001603559489446,Fast (<24h),2,Critical: High Impact on Both
China,2016,Malware,Healthcare,96.63,808984,Unknown,Weak Passwords,Firewall,26.0,0.0001194461200715,Medium (24-72h),2,Critical: High Impact on Both
Japan,2023,Ransomware,Banking,52.86,261038,Nation-state,Social Engineering,Encryption,48.0,0.0002024992529823,Medium (24-72h),3,Standard: Moderate Impact
China,2024,Phishing,Education,4.01,841054,Insider,Zero-day,Antivirus,49.0,4.7678270360761615e-06,Medium (24-72h),0,Widespread: High User Impact
China,2019,Ransomware,IT,68.02,175038,Hacker Group,Weak Passwords,VPN,67.0,0.0003886013322821,Medium (24-72h),3,Standard: Moderate Impact
Russia,2022,Phishing,Retail,67.17,774613,Hacker Group,Weak Passwords,Encryption,53.0,8.671426893171171e-05,Medium (24-72h),5,Critical: High Impact on Both
Japan,2021,Phishing,Healthcare,37.45,558357,Hacker Group,Weak Passwords,VPN,49.0,6.707178382289467e-05,Medium (24-72h),0,Widespread: High User Impact
India,2017,Phishing,Retail,36.78,620056,Nation-state,Weak Passwords,Firewall,14.0,5.93172229605068e-05,Fast (<24h),4,Standard: Moderate Impact
Russia,2018,Malware,Healthcare,40.66,90640,Unknown,Social Engineering,Encryption,56.0,0.000448587819947,Medium (24-72h),3,Standard: Moderate Impact
Russia,2022,Ransomware,Retail,76.93,449596,Unknown,Unpatched Software,AI-based Detection,3.0,0.0001711091735691,Fast (<24h),2,Critical: High Impact on Both
Australia,2020,Ransomware,Healthcare,58.91,207842,Nation-state,Social Engineering,Antivirus,40.0,0.0002834364565391,Medium (24-72h),1,Targeted: High Financial Impact
Germany,2017,Phishing,Retail,93.6,908249,Nation-state,Zero-day,AI-based Detection,53.0,0.0001030554396426,Medium (24-72h),5,Critical: High Impact on Both
Japan,2017,Phishing,Healthcare,47.39,470895,Nation-state,Social Engineering,Encryption,63.0,0.0001006381465082,Medium (24-72h),3,Standard: Moderate Impact
France,2017,Malware,Education,3.21,342049,Nation-state,Unpatched Software,AI-based Detection,31.0,9.38462033217463e-06,Medium (24-72h),4,Standard: Moderate Impact
Brazil,2018,Phishing,Banking,98.75,316891,Hacker Group,Social Engineering,Antivirus,55.0,0.0003116213461411,Medium (24-72h),1,Targeted: High Financial Impact
India,2019,Man-in-the-Middle,Education,27.45,633466,Unknown,Zero-day,AI-based Detection,16.0,4.333302813410664e-05,Fast (<24h),4,Standard: Moderate Impact
USA,2023,Malware,Telecommunications,23.98,123866,Nation-state,Zero-day,Firewall,43.0,0.0001935963056851,Medium (24-72h),3,Standard: Moderate Impact
France,2017,DDoS,Telecommunications,79.93,305905,Unknown,Unpatched Software,Encryption,44.0,0.000261290269855,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2023,SQL Injection,Telecommunications,3.66,702942,Nation-state,Unpatched Software,AI-based Detection,34.0,5.206688460783393e-06,Medium (24-72h),0,Widespread: High User Impact
Brazil,2016,Man-in-the-Middle,Retail,72.78,11339,Hacker Group,Social Engineering,AI-based Detection,34.0,0.0064185554281682,Medium (24-72h),1,Targeted: High Financial Impact
UK,2017,SQL Injection,Banking,73.88,8385,Nation-state,Social Engineering,AI-based Detection,69.0,0.0088109719737626,Medium (24-72h),3,Standard: Moderate Impact
Russia,2024,Ransomware,Banking,52.8,21810,Insider,Zero-day,VPN,48.0,0.0024209078404401,Medium (24-72h),3,Standard: Moderate Impact
India,2018,Man-in-the-Middle,Healthcare,94.6,7347,Insider,Zero-day,AI-based Detection,7.0,0.0128760038110793,Fast (<24h),1,Targeted: High Financial Impact
Germany,2021,SQL Injection,Education,1.62,61463,Hacker Group,Weak Passwords,Antivirus,58.0,2.63573206644648e-05,Medium (24-72h),3,Standard: Moderate Impact
Russia,2020,DDoS,Healthcare,0.82,683572,Insider,Zero-day,Antivirus,69.0,1.1995810243836783e-06,Medium (24-72h),0,Widespread: High User Impact
Germany,2015,Malware,Healthcare,90.91,654633,Nation-state,Weak Passwords,Antivirus,43.0,0.0001388717036874,Medium (24-72h),5,Critical: High Impact on Both
Japan,2021,DDoS,Banking,32.84,311274,Hacker Group,Zero-day,Encryption,67.0,0.0001055019050739,Medium (24-72h),3,Standard: Moderate Impact
Russia,2017,Malware,Education,63.33,185208,Unknown,Zero-day,Firewall,3.0,0.0003419398730076,Fast (<24h),1,Targeted: High Financial Impact
Russia,2022,Man-in-the-Middle,Healthcare,27.82,182378,Insider,Social Engineering,AI-based Detection,10.0,0.000152540328329,Fast (<24h),4,Standard: Moderate Impact
China,2016,Phishing,IT,7.73,800480,Unknown,Zero-day,VPN,31.0,9.656705976414152e-06,Medium (24-72h),0,Widespread: High User Impact
India,2019,DDoS,Banking,46.98,147761,Unknown,Unpatched Software,AI-based Detection,68.0,0.0003179458720501,Medium (24-72h),3,Standard: Moderate Impact
